title,price,area_sqft,price_per_sqft,location,bedrooms,bathrooms,property_type,undervalued,avg_price_per_sqft_location,url
"Charming and spacious two-family end-unit townhouse!!!$629,900Staten Island",629900,,,Staten Island,,,Land,False,,https://newyork.craigslist.org/stn/reb/d/staten-island-charming-and-spacious-two/7910614996.html
"2 family house used as a one family with private garage$1,750,000Bay Ridge",1750000,,,Bay Ridge,,,Multi-Family,False,,https://newyork.craigslist.org/brk/reb/d/brooklyn-family-house-used-as-one/7907147944.html
"Discover this meticulously updated, expansive Two-Family residence!!$750,000Graniteville",750000,,,Graniteville,,,Multi-Family,False,,https://newyork.craigslist.org/stn/reb/d/staten-island-discover-this/7905110441.html
"Lovely fully detached colonial style home, in the heart of Westerleigh$599,999Westerleigh",599999,,,Westerleigh,,,Single Family,False,,https://newyork.craigslist.org/stn/reb/d/staten-island-lovely-fully-detached/7905110757.html
"Oversized 3 bedrooms, 3 baths, beautiful engineered hardwood floors!!$489,900Staten Island",489900,,,Staten Island,3.0,3.0,Land,False,,https://newyork.craigslist.org/stn/reb/d/staten-island-oversized-bedrooms-baths/7910615094.html
"The uniquely customized single-family home you have been waiting for!$479,900Staten Island",479900,,,Staten Island,,,Land,False,,https://newyork.craigslist.org/stn/reb/d/staten-island-the-uniquely-customized/7905110411.html
"THE HOLIDAY INN HOTEL IN LONG ISLAND CITY, NY FOR SALE$65,000,000LONG ISLAND CITY, NY",65000000,,,"Long Island City, Ny",,,Land,False,,https://newyork.craigslist.org/que/reb/d/long-island-city-the-holiday-inn-hotel/7905104719.html
"CHARMING 2 BEDROOM SIDE HALL COLONIAL WITH PARKLIKE BACKYARD!!!$427,040Staten Island",427040,,,Staten Island,2.0,,Land,False,,https://newyork.craigslist.org/stn/reb/d/staten-island-charming-bedroom-side/7905110791.html
"Well-Maintained home! Perfect for 1st time buyers. Nice-sized bedrooms$549,900STATEN ISLAND",549900,,,Staten Island,,,Land,False,,https://newyork.craigslist.org/stn/reb/d/staten-island-well-maintained-home/7905110623.html
"PRICED RIGHT! Great starter home for 1st time homeowner, needs tlc.$499,900Staten Island",499900,,,Staten Island,,,Land,False,,https://newyork.craigslist.org/stn/reb/d/staten-island-priced-right-great/7905110573.html
"Wonderful 1 bedroom for sale , like a CONDO$229,000Midwood",229000,,,Midwood,1.0,,Condo/Co-op,False,,https://newyork.craigslist.org/brk/reb/d/brooklyn-wonderful-bedroom-for-sale/7909760076.html
"BEST WESTERN BOWERY HOTEL$80,000,000Chinatown / Lit Italy",80000000,,,Chinatown / Lit Italy,,,Other,False,,https://newyork.craigslist.org/mnh/reb/d/new-york-best-western-bowery-hotel/7905104777.html
"OFF MARKET HOTELS, RESORTS, APARTMENT COMPLEXES AVAILABLE FOR SALE$1,000,000Downtown",1000000,,,Downtown,,,Condo/Co-op,False,,https://newyork.craigslist.org/mnh/reb/d/new-york-off-market-hotels-resorts/7905104822.html
"Park Block Beauty! TRIPLEX, SKYLIT, 4BR, best of brownstone life$2,400,000Upper West Side",2400000,,,Upper West Side,4.0,,Multi-Family,False,,https://newyork.craigslist.org/mnh/reb/d/new-york-park-block-beauty-triplex/7907158364.html
"Best 2BR Deal around! Gracious, Elegant, and amazingly Priced$925,000Gramercy",925000,,,Gramercy,2.0,,Other,False,,https://newyork.craigslist.org/mnh/reb/d/new-york-best-2br-deal-around-gracious/7909894298.html
"Unreal Deal! Lofty 3BR in NOMAD priced below where you'd think$1,295,000Flatiron",1295000,,,Flatiron,3.0,,Other,False,,https://newyork.craigslist.org/mnh/reb/d/new-york-unreal-deal-lofty-3br-in-nomad/7909906863.html
